Key	Ýngilizce	Türkçe
$InsufficientVendorFunds	This vendor does not have enough credits. Accept the trade anyway?	 Bu satýcýnýn yeterli kredisi yok. Yine de takasý kabul ediyor musun?
$INTEGRITY	INTEGRITY	 BÜTÜNLÜK
$Integrity	Integrity	 Bütünlük
$Integrity (%)	Integrity (%)	 Bütünlük (%)
$INTELLIGENCE	INTELLIGENCE	 ÝSTÝHBARAT
$INTENSITY	INTENSITY	 YOÐUNLUK
$INTERACT	INTERACT	 ETKÝLEÞÝME GÝRMEK
$INV	INV	 INV
$InvalidTransaction	Could not complete transaction.	 Ýþlem tamamlanamadý.
$InvCompareLabel_Ammo	AMMO	 CEPHANE
$InvCompareLabel_Dmg	DMG	 DMG
$InvCompareLabel_DR	DR	 DR
$InvCompareLabel_Mass	MASS	 YIÐIN
$InvCompareLabel_Value	VAL	 VAL
$Inventory	Inventory	 Envanter
$INVENTORY	INVENTORY	 ENVANTER
$Inventory:	Inventory:	 Envanter:
$InventoryAmount	Inventory Amount	 Stok Tutarý
$InventoryCategoryAid	AID	 YARDIM
$InventoryCategoryAidFood	FOOD	 YÝYECEK
$InventoryCategoryAidMine	MY AID	 YARDIMIM
$InventoryCategoryAmmo	AMMO	 CEPHANE
$InventoryCategoryAmmoMine	MY AMMO	 CEPHANEM
$InventoryCategoryAmmoMisc	Ammo	 Cephane
$InventoryCategoryApparel	APPAREL	 KONFEKSÝYON
$InventoryCategoryApparelMine	MY APPAREL	 GÝYSÝLERÝM
$InventoryCategoryArmorBackpack	Backpacks	 Sýrt çantalarý
$InventoryCategoryArmorHelmet	Helmets	 Kasklar
$InventoryCategoryArmorSuit	Suits	 Takým elbise
$InventoryCategoryEquipment	Equipment	 Teçhizat
$InventoryCategoryInfo	Info	 Bilgi
$InventoryCategoryInfoMisc	Info	 Bilgi
$InventoryCategoryJunk	JUNK	 HURDA
$InventoryCategoryJunkMine	MY JUNK	 ÇÖPLÜÐÜM
$InventoryCategoryMisc	MISC	 ÇEÞÝTLÝ
$InventoryCategoryMiscMine	MY MISC	 ÇEÞÝTLERÝM
$InventoryCategoryMods	MODS	 MODLAR
$InventoryCategoryModsMine	MY MODS	 MODLARIM
$InventoryCategoryResources	Resources	 Kaynaklar
$InventoryCategoryResourcesMisc	Resources	 Kaynaklar
$InventoryCategoryWeaponMisc	Weapons	 Silahlar
$InventoryCategoryWeapons	WEAPONS	 SÝLAHLAR
$InventoryCategoryWeaponsMine	MY WEAPONS	 SÝLAHLARIM
$InventoryCategoryWeaponThrowable	Explosives	 Patlayýcýlar
$INVENTORYMine	MY INVENTORY	 ENVANTERÝM
$INVENTORYVendor	Vendor	 SATICI
$INVENTORY_HELMET_HIDE	HIDE HELMET IN BREATHABLE AREAS	 KASKI NEFES ALABÝLEN ALANLARA GÝZLEYÝN
$INVENTORY_HELMET_HIDE_LRG	HIDE (IN BREATHABLE AREAS)	 GÝZLE (NEFES ALABÝLÝR ALANLARDA)
$INVENTORY_HELMET_SHOW	SHOW HELMET IN BREATHABLE AREAS	 KASKI NEFES ALABÝLÝR ALANLARDA GÖSTERÝN
$INVENTORY_HELMET_SHOW_LRG	SHOW (ALWAYS)	 GÖSTER (HER ZAMAN)
$INVENTORY_SUIT_HIDE	HIDE SPACESUIT IN SETTLEMENTS	 YERLEÞÝMLERDE UZAY KIYAFETÝNÝ GÝZLE
$INVENTORY_SUIT_HIDE_LRG	HIDE (IN SETTLEMENTS)	 GÝZLE (YERLEÞÝMLERDE)
$INVENTORY_SUIT_SHOW	SHOW SPACESUIT IN SETTLEMENTS	 YERLEÞÝMLERDE UZAY KIYAFETÝNÝ GÖSTER
$INVENTORY_SUIT_SHOW_LRG	SHOW (ALWAYS)	 GÖSTER (HER ZAMAN)
$Invert Flight Y	Invert Flight Y	 Uçuþ Y'yi Ters Çevir
$Invert Menu X	Invert Menu Camera X	 Menüyü Ters Çevir Kamera X
$Invert Menu X Desc	Inverts the X-axis camera controls in menus.	 Menülerdeki X ekseni kamera kontrollerini tersine çevirir.
$Invert Menu Y	Invert Menu Camera Y	Menüyü Ters Çevir Kamera Y
$Invert Menu Y Desc	Inverts the Y-axis camera controls in menus.	 Menülerdeki Y ekseni kamera kontrollerini tersine çevirir.
$Invert Pitch	Invert Pitch	 Perdeyi Tersine Çevir
$Invert Y	Invert Y	 Y'yi Ters Çevir
$Invert Yaw	Invert Yaw	 Yaw'ý ters çevir
$Invert_Flight_Y_Desc	Inverts the vertical looking controls while flying a spaceship.	 Bir uzay gemisini uçururken dikey görünümlü kontrolleri tersine çevirir.
$Invert_Pitch_Flycam_Desc	Invert the vertical look direction when in Outpost FlyCam.	 Outpost FlyCam'deyken dikey bakýþ yönünü tersine çevirin.
$Invert_Yaw_Flycam_Desc	Invert the horizontal look direction when in Outpost FlyCam.	 Outpost FlyCam'deyken yatay bakýþ yönünü tersine çevirin.
$Invert_Y_Desc	Inverts the vertical looking controls while walking.	 Yürürken dikey görünümlü kontrolleri tersine çevirir.
$INVEST	INVEST	 YATIRIM
$Item Fade	Item Fade	 Öðe Solmasý
$Item Fade Desc	Controls the distance at which playable items fade in.	 Oynatýlabilir öðelerin yavaþ yavaþ kaybolacaðý mesafeyi kontrol eder.
$Item HoldAndDrag	Item Rotation Hold and Drag	 Öðe Döndürme Tutma ve Sürükleme
$Item HoldAndDrag Desc	Change hold-and-drag-mouse to rotate items in menus to a click-and-mouse-move instead.	 Menülerdeki öðeleri týklatýp fareyle hareket ettirerek döndürmek için fareyi basýlý tutup sürükleyin.
$Item Type	Item Type	 Öðe türü
$ITEM VIEW	ITEM VIEW	 ÖÐE GÖRÜNÜMÜ
$ItemInfo_AR	AR	 AR
$ItemInfo_CND	CND	 CND
$ItemInfo_DMG	DMG	 DMG
$ItemInfo_Stolen	STOLEN	 ÇALINDI
$ItemInfo_VAL	VAL	 VAL
$ItemInfo_WT	WT	 WT
$ItemNameInvalid	Cannot rename item, item name is too long or contains invalid characters.	" Öðe yeniden adlandýrýlamýyor; öðe adý çok uzun veya geçersiz karakterler içeriyor."
$ItemRarity_Epic	Epic	 Epik
$ItemRarity_Legendary	Legendary	 Efsanevi
$ItemRarity_Rare	Rare	 Nadir
$ItemRename	Enter item name	 Öðe adýný girin
$ITEMS:	ITEMS:	 ÖÐELER:
$ItemsToCargoHold	All items will be moved to the cargo hold.	 Tüm eþyalar kargo ambarýna taþýnacaktýr.
$Japanese	Japanese	 Japonca
$Jettison	JETTISON	 ATILMA
$JETTISON ALL	JETTISON ALL	 HEPSÝNÝ ATIN
$Jump	Jump	 Zýplamak
$JUMP	JUMP	 ZIPLAMAK
$JUMP DATA	JUMP DATA	 VERÝLERÝ ATLAMA
$JUMP RANGE	JUMP RANGE	 ATLAMA ARALIÐI
$JUMP TO	TRAVEL	 SEYAHAT
$JUMPS	JUMPS	 ATLAMALAR
$JUNK JET	JUNK JET	 hurda jet
$KeyboardMouse	Keyboard & Mouse	Klavye fare
$KG	KG	 KÝLOGRAM
$Kill On Sight	Kill On Sight	 Gördüðü Yerde Öldür
$KM	 KM	 KM
$LAND	LAND	 KARA
$LAND INSPECT	LAND/INSPECT	 ARAZÝ/ÝNCELEME
$LANDED	LANDED	 ÝNDÝ
$LANDING	LANDING	 ÝNÝÞ
$LANDING GRAV JUMPING	INITIATING GRAV JUMP	 GRAV JUMP'U BAÞLATMA
$LANDING IN COMBAT	IN COMBAT	 SAVAÞTA
$LANDING INVALID POINT	CANNOT LAND HERE	 BURAYA ÝNEMEZ
$LANDING NO MARKER	PLACE LANDING MARKER	 ÝNÝÞ ÝÞARETÝ YERÝNDE
$LANDING NO SURFACE	NO SUITABLE SURFACE	 UYGUN YÜZEY YOK
$LANDING NOT CLEARED	NOT CLEARED FOR LANDING	 ÝNÝÞE ÝZÝN VERÝLMEDÝ
$LANDING OUT OF RANGE	SHIP NOT IN RANGE TO LAND	 GEMÝ KARAYA MENZÝLDE DEÐÝL
$LANDING RECORDED	LANDING RECORDED	 ÝNÝÞ KAYDEDÝLMÝÞTÝR
$LANDING UNAVAILABLE	Landing Unavailable	 Ýniþ Yapýlamýyor
$LANDING ZONE	LANDING ZONE	 ÝNÝÞ BÖLGESÝ
$LandingBountyMoon	This faction has placed a bounty on you.  Add a destination to the moon's orbit?	 Bu grup sana bir ödül verdi. Ayýn yörüngesine bir hedef eklensin mi?
$LandingBountyPlanet	This faction has placed a bounty on you.  Add a destination to the planet's orbit?	 Bu grup sana bir ödül verdi. Gezegenin yörüngesine bir hedef eklensin mi?
$LandingContrabandMoon	You have contraband.  Settled systems require scanning of your ship’s cargo before attempting to land here.  Add a destination to the moon's orbit?	 Kaçak malýnýz var. Yerleþik sistemler, buraya inmeden önce geminizin kargosunun taranmasýný gerektirir. Ayýn yörüngesine bir hedef eklensin mi?
$LandingContrabandPlanet	You have contraband.  Settled systems require scanning of your ship’s cargo before attempting to land here.  Add a destination to the planet's orbit?	 Kaçak malýnýz var. Yerleþik sistemler, buraya inmeden önce geminizin kargosunun taranmasýný gerektirir. Gezegenin yörüngesine bir hedef eklensin mi?
$LandingFailed	Unable to land at this location.	 Bu konuma iniþ yapýlamýyor.
$LARGE	LARGE	 BÜYÜK
$Large Menu Fonts	Large Menu Fonts	 Büyük Menü Yazý Tipleri
$Large Menu Fonts Desc	Use larger font size in menus where possible. Only adjustable from the main menu.	Mümkün olduðunca menülerde daha büyük yazý tipi boyutu kullanýn. Yalnýzca ana menüden ayarlanabilir.
$Last Used	Last Used	 Son kullanýlan
$Latest	Latest	 En sonuncu
$LEAN	THIN	 ÝNCE
$LEARN HOLD	HOLD TO LEARN	 ÖÐRENMEK ÝÇÝN BASILI TUTUN
$LeaveMinigame	Quit game?	 Oyundan çýk?
$LegalScreen	Starfield™ © 2023 ZeniMax Media Inc. Starfield, Bethesda, Bethesda Softworks, Bethesda Game Studios, ZeniMax, and related logos are registered trademarks or trademarks of ZeniMax Media Inc. in the U.S. and/or other countries. All Rights Reserved. Havok software is ©2016 Microsoft. All rights reserved.\n\nMoon maps Image Credit: NASA’s Scientific Visualization Studio. Jupiter maps Image Credit: NASA Goddard Space Flight Center, Space Telescope Science Institute. Mars data compiled by the U.S. Geological Survey.\n\nPHOTOSENSITIVITY WARNING: A small percentage of people may experience seizures when exposed to certain lights, patterns or images, even with no history of epilepsy or seizures. Please review the safety information in our Terms of Services at https://bethesda.net/en/document/terms-of-service.	 Starfield™ © 2023 ZeniMax Media Inc. Starfield, Bethesda, Bethesda Softworks, Bethesda Game Studios, ZeniMax ve ilgili logolar, ZeniMax Media Inc.'in ABD ve/veya diðer ülkelerdeki tescilli ticari markalarý veya ticari markalarýdýr. Her hakký saklýdýr. Havok yazýlýmý ©2016 Microsoft'a aittir. Tüm haklarý saklýdýr.\n\nAy haritalarý Image Credit: NASA'nýn Bilimsel Görselleþtirme Stüdyosu. Jüpiter haritalarý Resim Kredisi: NASA Goddard Uzay Uçuþ Merkezi, Uzay Teleskobu Bilim Enstitüsü. ABD Jeoloji Araþtýrmasý tarafýndan derlenen Mars verileri.\n\nFOTOSENSÝTLÝK UYARISI: Epilepsi veya nöbet geçmiþi olmasa bile, insanlarýn küçük bir yüzdesi belirli ýþýklara, desenlere veya görüntülere maruz kaldýðýnda nöbet geçirebilir. Lütfen https://bethesda.net/en/document/terms-of-service adresindeki Hizmet Þartlarýmýzdaki güvenlik bilgilerini inceleyin.
$LEGENDARY EFFECT	LEGENDARY EFFECT	 EFSANEVÝ ETKÝ
$Level	Level	 Seviye
$LEVEL	LEVEL	SEVÝYE
$Level #	Level #	 Seviye #
$LEVEL UP	LEVEL UP	 SEVÝYE ATLAMAK
$Level {0} Ship	Level {0} Ship	 {0}. Seviye Gemi
$LEVELUP	LEVEL UP	 SEVÝYE ATLAMAK
$LIFE	LIFE	 HAYAT
$Light Fade	Light Fade	 Iþýk Solmasý
$LINER	LINER	 ASTAR
$LINER_1_TITLE	PRIMARY LINER	 BÝRÝNCÝL ASTAR
$LINER_2_TITLE	SECONDARY LINER	 ÝKÝNCÝL ASTAR
$LINER_3_TITLE	TERTIARY LINER	 ÜÇÜNCÜ ASTAR
$Linked outpost:	Linked outpost:	 Baðlantýlý karakol:
$LINKED_OUTPOST:	LINKED OUTPOST:	 BAÐLANTILI KARGO:
$LIPSTICKACCENTS	LIPSTICK ACCENTS	 RUJ VURGULARI
$LIPSTICKBASE	LIPSTICK BASE	 RUJ TABANI
$List View	LIST$	 LÝSTE $
$LOAD	LOAD	 YÜK
$Load this game? All unsaved progress will be lost.	Load this game? All unsaved progress will be lost.	 Bu oyun yüklensin mi? Kaydedilmemiþ tüm ilerlemeler kaybolacaktýr.
$Loading	Loading	 Yükleniyor
$Loading EULA...	Loading Terms of Service	 Hizmet Þartlarý Yükleniyor
$Loading mods...	Loading mods...	 Modlar yükleniyor...
$LoadingModsIntro	Play with Mods at your own risk. You may experience issues with mods. You can disable Mods via Load Order and go back to your original save at anytime using Select Character in the Load menu. Downloading and playing with Mods is subject to our Terms of Service. Note: Achievements are disabled.	 Modlarla oynamak kendi sorumluluðunuzdadýr. Modlarla ilgili sorunlar yaþayabilirsiniz. Yükleme Sýrasý aracýlýðýyla Modlarý devre dýþý býrakabilir ve Yükle menüsündeki Karakter Seç'i kullanarak istediðiniz zaman orijinal kaydýnýza geri dönebilirsiniz. Modlarý indirmek ve oynamak Hizmet Þartlarýmýza tabidir. Not: Baþarýlar devre dýþýdýr.
$LoadingModsIntro_PS4	Play with Mods at your own risk. You may experience issues with mods. You can disable Mods via Load Order and go back to your original save at anytime using Select Character in the Load menu. Downloading and playing with Mods is subject to our Terms of Service. Note: Trophies are disabled.	 Modlarla oynamak kendi sorumluluðunuzdadýr. Modlarla ilgili sorunlar yaþayabilirsiniz. Yükleme Sýrasý aracýlýðýyla Modlarý devre dýþý býrakabilir ve Yükle menüsündeki Karakter Seç'i kullanarak istediðiniz zaman orijinal kaydýnýza geri dönebilirsiniz. Modlarý indirmek ve oynamak Hizmet Þartlarýmýza tabidir. Not: Kupalar devre dýþýdýr.
$LoadVanillaSaveWithMods	Mods are currently loaded. Note: Achievements are disabled.  Do you wish to continue loading this save?	Modlar þu anda yüklü. Not: Baþarýlar devre dýþýdýr. Bu kaydetmeyi yüklemeye devam etmek istiyor musunuz?
$LoadVanillaSaveWithMods_Orbis	Mods are currently loaded. Note: Trophies are disabled.  Do you wish to continue loading this save?	 Modlar þu anda yüklü. Not: Kupalar devre dýþýdýr. Bu kaydetmeyi yüklemeye devam etmek istiyor musunuz?
$LOCAL HOUR	LOCAL HOUR	 YEREL SAAT
$LOCAL HOURS	LOCAL HOURS	 YEREL SAATLER
$Local Map	LOCAL MAP	 YEREL HARÝTA
$LocalTime	Local Time	 Yerel zaman
$LocalTime_Suffix	({0} HR Solar Cycle)	 ({0} HR Güneþ Döngüsü)
$LocalTime_ZeroHoursPerDay	--:-- (0 HR Solar Cycle)	 --:-- (0 SAAT Güneþ Döngüsü)
$LOCAL_HOUR	LOCAL HOUR	 YEREL SAAT
$LOCAL_HOURS	LOCAL HOURS	 YEREL SAATLER
$LOCATION	LOCATION	 KONUM
$LocationCleared	[CLEARED]	 [TEMÝZLENDÝ]
$LocationDiscovered	LOCATION DISCOVERED	 KONUM KEÞFEDÝLDÝ
$Lock	Lock	 Kilit
$LOCKED	LOCKED	 KÝLÝTLÝ
$LockedContainer	[LOCKED]	 [KÝLÝTLÝ]
$LOCKED_SKILL_TEXT	Spend {0} more points in {1} to unlock {2}	 {2}'nin kilidini açmak için {1}'de {0} puan daha harcayýn
$LOCKED_SKILL_TEXT_SINGLE	Spend {0} more point in {1} to unlock {2}	 {2}'nin kilidini açmak için {1}'de {0} puan daha harcayýn
$LOCKING	LOCKING	 KÝLÝTLEME
$Lockpicks Left	Bobby Pins Remaining	 Kalan Bobby Pinler
$Log	Log	 Kayýt
$LOG	STATS	 ÝSTATÝSTÝKLER
$Logging you in...	Logging in...	 Giriþ...
$Login failed.	Login failed.	 Giriþ baþarýsýz oldu.
$LoginError_AgeRestrict	Parental controls have disabled online media sharing.	 Ebeveyn denetimleri çevrimiçi medya paylaþýmýný devre dýþý býraktý.
$LoginError_BNET_CANNOT_CONNECT	Couldn't connect to the Bethesda.net servers.	 Bethesda.net sunucularýna baðlanýlamadý.
$LoginError_BNET_CDP_AUTHENTICATION_FAILED	Could not login to the Bethesda.net server.	 Bethesda.net sunucusuna giriþ yapýlamadý.
$LoginError_BNET_CLIENT_ERROR	The operation could not be completed.	 Operasyon tamamlanamadý.
$LoginError_BNET_DNS_ERROR	Could not connect to the Bethesda.net servers.	 Bethesda.net sunucularýna baðlanýlamadý.
$LoginError_BNET_INTERNAL	Could not log into the Bethesda.net servers.	 Bethesda.net sunucularýna giriþ yapýlamadý.
$LoginError_BNET_INVALID_CREDENTIALS	The username/password is invalid.	 Kullanýcý adý/þifre geçersiz.
$LoginError_BNET_OUTSIDE_GRACE_PERIOD	Please complete your Bethesda.net account registration and verify your email.	 Lütfen Bethesda.net hesap kaydýnýzý tamamlayýn ve e-posta adresinizi doðrulayýn.
$LoginError_BNET_SERVER_ERROR	Could not login to the Bethesda.net servers.	 Bethesda.net sunucularýna giriþ yapýlamadý.
$LoginError_BNET_TIMEOUT	The connection has timed out.	 Baðlantý zaman aþýmýna uðradý.
$LoginError_BNET_UNACCEPTED_LEGAL_DOCUMENT	EULA hasn't been accepted.  Log in to Bethesda.net on your browser.	EULA kabul edilmedi. Tarayýcýnýzdan Bethesda.net'te oturum açýn.
$LoginError_BNET_UNKNOWN_ERROR	The operation could not be completed.	 Operasyon tamamlanamadý.
$LoginError_BNET_WINHTTP_INVALID_SERVER_RESPONSE	Could not connect to the Bethesda.net servers.	 Bethesda.net sunucularýna baðlanýlamadý.
$LoginError_BNET_XBOX_ONE_USER_ERROR	Could not connect to the Bethesda.net servers.	 Bethesda.net sunucularýna baðlanýlamadý.
$LoginError_Needs1stPartyUpdate	An update is required in order to continue.	 Devam etmek için güncelleme gerekiyor.
$LoginError_NotSignedIn1stPartyDurango	You must be signed into an Xbox account to continue.	 Devam etmek için bir Xbox hesabýnda oturum açmalýsýnýz.
$LoginError_NotSignedIn1stPartyOrbis	You must be signed into a Sony Entertainment Network account to continue.	 Devam etmek için bir Sony Entertainment Network hesabýnda oturum açmalýsýnýz.
$LoginPage_Footer	Play with Mods at your own risk. You may experience issues with mods. You can disable Mods via Load Order and go back to your original save at anytime using Select Character in the Load menu. Downloading and playing with Mods is subject to our Terms of Service. Note: Achievements are disabled.	 Modlarla oynamak kendi sorumluluðunuzdadýr. Modlarla ilgili sorunlar yaþayabilirsiniz. Yükleme Sýrasý aracýlýðýyla Modlarý devre dýþý býrakabilir ve Yükle menüsündeki Karakter Seç'i kullanarak istediðiniz zaman orijinal kaydýnýza geri dönebilirsiniz. Modlarý indirmek ve oynamak Hizmet Þartlarýmýza tabidir. Not: Baþarýlar devre dýþýdýr.
$LoginPage_Footer_PS4	Play with Mods at your own risk. You may experience issues with mods. You can disable Mods via Load Order and go back to your original save at anytime using Select Character in the Load menu. Downloading and playing with Mods is subject to our Terms of Service. Note: Trophies are disabled.	 Modlarla oynamak kendi sorumluluðunuzdadýr. Modlarla ilgili sorunlar yaþayabilirsiniz. Yükleme Sýrasý aracýlýðýyla Modlarý devre dýþý býrakabilir ve Yükle menüsündeki Karakter Seç'i kullanarak istediðiniz zaman orijinal kaydýnýza geri dönebilirsiniz. Modlarý indirmek ve oynamak Hizmet Þartlarýmýza tabidir. Not: Kupalar devre dýþýdýr.
$LoginPage_Header	Sign in to explore mods from the Bethesda.net community. Signing in will link your Bethesda.net account for automatic logging in.	 Bethesda.net topluluðundaki modlarý keþfetmek için oturum açýn. Oturum açmak, otomatik oturum açma için Bethesda.net hesabýnýzý baðlayacaktýr.
$Login_CreateNew	CREATE NEW ACCOUNT	 YENÝ HESAP OLUÞTUR
$LOOK	LOOK	 BAKMAK
$Look Horizontal Sensitivity	Look Sensitivity H	 Görünüm Hassasiyeti H
$Look Horizontal Sensitivity Desc	Controls the general sensitivity of horizontal looking.	 Yatay görünümün genel hassasiyetini kontrol eder.
$Look Sensitivity	Look Sensitivity	 Görünüm Hassasiyeti
$Look Vertical Sensitivity	Look Sensitivity V	 Görünüm Hassasiyeti V
$Look Vertical Sensitivity Desc	Controls the general sensitivity of vertical looking.	 Dikey bakmanýn genel hassasiyetini kontrol eder.
$LOWER	LOWER	 DAHA DÜÞÜK
$LUCK	LUCK	 ÞANS
$LY	LY	 LY
$MAG	MAG	 MAG
$MAG_LRG	MAG	 MAG
$MAGAZINE	MAGAZINE	 DERGÝ
$MAGNETOSPHERE	MAGNETOSPHERE	 MANYETOSFER
$MAGNITUDE	MAGNITUDE	 BÜYÜKLÜK
$Main	MAIN	 ANA
$MAIN MENU	MAIN MENU	 ANA MENÜ
$Main Menu	Main Menu	 Ana menü
$MainGameplay	MAIN GAMEPLAY	 ANA OYNANIÞ
$MainGameplay_Activate	Activate	 Etkinleþtir
$MainGameplay_AltAttack	Throw Grenade	 El bombasý at
$MainGameplay_AutoMove	Auto-Move	 Otomatik hareket
$MainGameplay_Back	Back	 Geri
$MainGameplay_DataMenu	Open Data Menu	 Veri Menüsünü Aç
$MainGameplay_Flashlight	Toggle Flashlight	 El Fenerini Aç/Kapat
$MainGameplay_Forward	Forward	 Ýleri
$MainGameplay_Jump	Jump	 Zýplamak
$MainGameplay_Melee	Melee	 Yakýn Dövüþ
$MainGameplay_Monocle	Hand Scanner/Flashlight	 El Tarayýcý/El Feneri
$MainGameplay_Pause	Pause	 Duraklat
$MainGameplay_PrimaryAttack	Primary Attack	 Birincil Saldýrý
$MainGameplay_QuickHeal	Quick-Heal	 Çabuk iyileþme
$MainGameplay_QuickInventory	Quick-Inventory	 Hýzlý Envanter
$MainGameplay_Quickkey1	Quick-Key 1	 Hýzlý Tuþ 1
$MainGameplay_Quickkey10	Quick-Key 10	 Hýzlý Tuþ 10
$MainGameplay_Quickkey11	Quick-Key 11	 Hýzlý Tuþ 11
$MainGameplay_Quickkey12	Quick-Key 12	Hýzlý Tuþ 12
$MainGameplay_Quickkey2	Quick-Key 2	 Hýzlý Tuþ 2
$MainGameplay_Quickkey3	Quick-Key 3	 Hýzlý Tuþ 3
$MainGameplay_Quickkey4	Quick-Key 4	 Hýzlý Tuþ 4
$MainGameplay_Quickkey5	Quick-Key 5	 Hýzlý Tuþ 5
$MainGameplay_Quickkey6	Quick-Key 6	 Hýzlý Tuþ 6
$MainGameplay_Quickkey7	Quick-Key 7	 Hýzlý Tuþ 7
$MainGameplay_Quickkey8	Quick-Key 8	 Hýzlý Tuþ 8
$MainGameplay_Quickkey9	Quick-Key 9	 Hýzlý Tuþ 9
$MainGameplay_QuickkeyDown	Quick-Key Down	 Hýzlý Tuþ Aþaðý
$MainGameplay_QuickkeyLeft	Quick-Key Left	 Hýzlý Tuþ Sol
$MainGameplay_QuickkeyRight	Quick-Key Right	 Hýzlý Tuþ Sað
$MainGameplay_Quickkeys	Open Quick-Keys	 Hýzlý Tuþlarý Aç
$MainGameplay_QuickkeyUp	Quick-Key Up	 Hýzlý Tuþ Açma
$MainGameplay_Quickload	Quick-Load	 Hýzlý yükleme
$MainGameplay_QuickMap	Quick-Map	 Hýzlý Harita
$MainGameplay_QuickMission	Quick-Mission	 Hýzlý Görev
$MainGameplay_QuickPowers	Quick-Powers	 Hýzlý Güçler
$MainGameplay_QuickRadio	Quick-Radio	 Hýzlý Radyo
$MainGameplay_Quicksave	Quick-Save	 Hýzlý kaydet
$MainGameplay_QuickShip	Quick-Ship	 Hýzlý Gemi
$MainGameplay_QuickSkills	Quick-Skills	 Hýzlý Beceriler
$MainGameplay_QuickStats	Quick-Status	 Hýzlý Durum
$MainGameplay_ReadyWeapon	Toggle Sheathe Weapon	 Silahýn Kýlýfýný Deðiþtir
$MainGameplay_ReloadWeapon	Reload Weapon	 Silahý doldur
$MainGameplay_Run	Hold To Run	 Çalýþtýrmak için Basýlý Tutun
$MainGameplay_SecondaryAttack	Secondary Attack	 Ýkincil Saldýrý
$MainGameplay_Sneak	Sneak	 Gizlice
$MainGameplay_Sprint	Sprint	 Sprint
$MainGameplay_StarbornPower	Power	 Güç
$MainGameplay_StrafeLeft	Strafe Left	 Strafe Sol
$MainGameplay_StrafeRight	Strafe Right	 Strafe Sað
$MainGameplay_ToggleAlwaysRun	Toggle Always-Run	 Her Zaman Çalýþtýr'ý aç/kapat
$MainGameplay_TogglePOV	Toggle POV	 Bakýþ Açýsýný Deðiþtir
$MainGameplay_WeaponReadyReload	Reload/Sheathe Weapon	 Silahý Yeniden Doldur/Kýlýfla
$MainGameplay_ZoomIn	Camera Zoom In	 Kamerayý Yakýnlaþtýr
$MainGameplay_ZoomOut	Camera Zoom Out	 Kamerayý Uzaklaþtýr
$MainKey	Main Key	 Ana Anahtar
$Make	Make	 Yapmak
$MAKE	MAKE	 YAPMAK
$MAKE_HOME_SHIP	Make Home Ship	 Ev Gemisi Yap
$MALE	MALE	 ERKEK
$MANAGE GOODS	Manage Goods	 Mallarý Yönet
$ManualSaveMsg	Saving...	 Kaydediliyor...
$Manufacturer_Generic	GENERIC	 GENEL
$MAP	MAP	 HARÝTA
$MapMarkerGenericTypeAsteroids	Asteroids	 Asteroitler
$MapMarkerGenericTypeHazard	Hazard	 Tehlike
$MapMarkerGenericTypeLandmark	Natural	 Doðal
$MapMarkerGenericTypeLifeSigns	Life Signs	 Hayat Ýþaretleri
$MapMarkerGenericTypeShip	Ship	 Gemi
$MapMarkerGenericTypeSpaceLandmark	Anomaly	 Anomali
$MapMarkerGenericTypeStation	Starstation	 Yýldýz istasyonu
$MapMarkerGenericTypeStructure	Structure	 Yapý
$MARKINGS	MARKINGS	 ÝÞARETLER
$MASCULINE	MASCULINE	 ERÝL
$MASS	MASS	 YIÐIN
$mass	MASS	 YIÐIN
$Mass (All)	Mass (All)	 Kütle (Tümü)
$MASS (KG)	MASS (KG)	 KÜTLE (KG)
$Mass (KG)	Mass (KG)	Kütle (KG)
$MASS_LRG	MASS	 YIÐIN
$Master	Master	 Usta
$Master Audio Desc	Controls the overall game volume.	 Genel oyun ses düzeyini kontrol eder.
$Mastered_Skill	You have mastered this skill.	 Bu beceride ustalaþtýnýz.
$Material	Material	 Malzeme
$Material Available	Material Available	 Mevcut Malzeme
$MAX	MAX	 MAKS
$MAX HEALTH INCREASED BY	MAX HEALTH INCREASED BY {0}	 MAKS SAÐLIK {0} ORANINDA ARTTI
$Max Range Exceeded	Out Of Range	 Aralýk Dýþý
$MAXIMUM_RANK	MAXIMUM RANK	 MAKSÝMUM SIRALAMA
$Medical	Medical	 Týbbi
$MEDIUM	MEDIUM	 ORTA
$Melee	Bash/Power Attack	 Bash/Güç Saldýrýsý
$MENU	MENU	 MENÜ
$Menu3DModelRotation	MENU 3D MODEL ROTATION	 MENÜ 3D MODEL DÖNDÜRME
$Menu3DModelRotation_Rotate	Rotate Model	 Modeli Döndür
$Menu3DModelZoom	MENU 3D MODEL ZOOM	 MENÜ 3D MODEL YAKINLAÞTIRMA
$Menu3DModelZoom_ZoomModelIn	Zoom Model In	 Modeli Yakýnlaþtýr
$Menu3DModelZoom_ZoomModelOut	Zoom Model Out	 Modeli Uzaklaþtýr
$MenuDisplayAutosaveName	AUTOSAVE	 OTOMATÝK KAYIT
$MenuDisplayExitsaveName	EXITSAVE	 ÇIKIÞKAYDET
$MenuDisplayQuicksaveName	QUICKSAVE	 HIZLI KAYDET
$MenuDisplayUnknownLocationString	UNKNOWN	 BÝLÝNMEYEN
$MESSAGES	MESSAGES	 MESAJLAR
$Meter_Abbreviation	m	 M
$MICROGEOMETRY	FACIAL FORMS 1	 YÜZ FORMLARI 1
$MINE	MINE	 BANA AÝT
